Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/8/2023 14:16,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-64,8.2,10,70.03,27.53,0,8565,-1
2/8/2023 14:16,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-57,9.8,10,69.33,29.22,0,20707,-1
2/8/2023 14:16,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-76,8.5,10,69.98,28.86,0,22719,-1
2/8/2023 14:16,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-64,12.5,10,69.75,26.86,0,22066,-1
2/8/2023 14:18,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-72,11,10,69.75,27.21,0,22583,-1
2/8/2023 14:19,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-60,11.5,10,70.02,27.45,0,8568,-1
2/8/2023 14:19,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-59,11.8,10,69.31,29.11,0,20710,-1
2/8/2023 14:19,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-59,8.2,10,69.73,26.79,0,22069,-1
2/8/2023 14:20,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-75,9.2,10,69.87,28.82,0,22723,-1
2/8/2023 14:21,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-87,9.8,10,69.93,28.79,0,22724,-1
2/8/2023 14:22,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-71,12.8,10,69.82,27.19,0,22586,-1
2/8/2023 14:22,Mote05,qGEKMzA3fwE=,904100000,125,1,4/5,-59,11.8,10,70.09,27.42,0,8571,-1
2/8/2023 14:22,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-58,12,10,69.73,26.8,0,22071,-1
2/8/2023 14:22,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-59,14,10,69.31,29.34,0,20713,-1
2/8/2023 14:22,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-76,10.2,10,69.98,28.85,0,22725,-1
2/8/2023 14:23,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-64,10,10,69.71,26.88,0,22072,-1
2/8/2023 14:23,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-59,11.5,10,69.31,29.29,0,20714,-1
2/8/2023 14:23,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-67,9.5,10,70.02,28.9,0,22726,-1
2/8/2023 14:23,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-63,13,10,69.76,26.88,0,22073,-1
2/8/2023 14:24,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-73,11.2,10,69.94,27.09,0,22588,-1
2/8/2023 14:24,Mote03,qGEKNDQkZg8=,904900000,125,5,4/5,-77,10,10,70.12,28.7,0,22727,-1
2/8/2023 14:24,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-59,10.5,10,69.33,29.16,0,20715,-1
2/8/2023 14:25,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-73,10.8,10,69.98,27.1,0,22589,-1
2/8/2023 14:25,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-60,7,10,69.78,26.84,0,22075,-1
2/8/2023 14:26,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-72,11.8,10,69.98,27.11,0,22590,-1
2/8/2023 14:27,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-71,8.2,10,69.98,27.08,0,22591,-1
2/8/2023 14:27,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-58,9.8,10,70.12,27.45,0,8576,-1
2/8/2023 14:27,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-78,12,10,70.12,28.72,0,22730,-1
2/8/2023 14:28,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-57,10.5,10,70.2,27.5,0,8577,-1
2/8/2023 14:28,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-62,12,10,69.76,26.86,0,22077,-1
2/8/2023 14:28,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-80,9.5,10,70.16,28.8,0,22731,-1
2/8/2023 14:28,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-59,11.8,10,69.37,29.24,0,20719,-1
2/8/2023 14:29,Mote01,qGEKMzVBjAY=,904100000,125,1,4/5,-69,12,10,70.05,27.15,0,22593,-1
2/8/2023 14:29,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-61,10,10,70.21,27.51,0,8578,-1
2/8/2023 14:29,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-58,9.5,10,69.37,29.41,0,20720,-1
2/8/2023 14:30,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-59,7.5,10,70.23,27.48,0,8579,-1
2/8/2023 14:30,Mote04,qGEKNDBFiQo=,904900000,125,5,4/5,-65,12.5,10,69.76,26.94,0,22080,-1
2/8/2023 14:31,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-69,10.5,10,70.05,27.17,0,22595,-1
2/8/2023 14:31,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-85,10.2,10,70.16,28.89,0,22734,-1
2/8/2023 14:31,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-61,13.5,10,69.37,29.33,0,20722,-1
2/8/2023 14:32,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-58,10.2,10,70.25,27.53,0,8581,-1
2/8/2023 14:32,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-78,8,10,70.18,28.92,0,22735,-1
2/8/2023 14:33,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-59,13,10,69.39,29.33,0,20723,-1
2/8/2023 14:33,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-67,11.8,10,69.78,26.99,0,22082,-1
2/8/2023 14:33,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-60,8.2,10,70.25,27.52,0,8582,-1
2/8/2023 14:33,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-78,11.5,10,70.23,28.85,0,22736,-1
2/8/2023 14:34,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-65,14,10,69.8,26.99,0,22083,-1
2/8/2023 14:34,Mote05,qGEKMzA3fwE=,904900000,125,5,4/5,-58,11,10,70.23,27.54,0,8583,-1
2/8/2023 14:36,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-71,11.2,10,70.07,27.32,0,22600,-1
2/8/2023 14:36,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-57,12.5,10,69.4,29.5,0,20726,-1
2/8/2023 14:36,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-60,13.5,10,69.4,29.42,0,20727,-1
2/8/2023 14:37,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-65,8.5,10,69.8,27.07,0,22086,-1
2/8/2023 14:37,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-61,12.8,10,70.23,27.58,0,8586,-1
2/8/2023 14:37,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-77,9.2,10,70.03,27.24,0,22601,-1
2/8/2023 14:37,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-75,11,10,70.25,28.88,0,22740,-1
2/8/2023 14:38,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-62,11.5,10,69.78,27.06,0,22087,-1
2/8/2023 14:39,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-73,12.5,10,70.05,27.27,0,22603,-1
2/8/2023 14:39,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-72,9.5,10,70.14,28.95,0,22742,-1
2/8/2023 14:40,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-59,11.2,10,69.37,29.4,0,20730,-1
2/8/2023 14:40,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-57,10.5,10,70.21,27.59,0,8589,-1
2/8/2023 14:40,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-57,9,10,69.39,29.37,0,20731,-1
2/8/2023 14:41,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-72,11.8,10,69.98,27.3,0,22605,-1
2/8/2023 14:41,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-65,11,10,69.78,27.03,0,22090,-1
2/8/2023 14:41,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-77,12.5,10,70.12,28.94,0,22744,-1
2/8/2023 14:42,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-72,12,10,69.98,27.27,0,22606,-1
2/8/2023 14:42,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-60,11.8,10,70.14,27.63,0,8591,-1
2/8/2023 14:43,Mote05,qGEKMzA3fwE=,904900000,125,5,4/5,-58,10.2,10,70.12,27.61,0,8592,-1
2/8/2023 14:44,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-75,10.8,10,70.09,28.93,0,22746,-1
2/8/2023 14:44,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-64,13,10,69.73,26.99,0,22093,-1
2/8/2023 14:45,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-76,10.2,10,70.09,28.83,0,22747,-1
2/8/2023 14:45,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-67,7.8,10,69.98,27.14,0,22609,-1
2/8/2023 14:45,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-64,12.8,10,69.75,26.94,0,22094,-1
2/8/2023 14:45,Mote05,qGEKMzA3fwE=,904100000,125,1,4/5,-60,11.8,10,70.09,27.53,0,8594,-1
2/8/2023 14:46,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-60,11.8,10,69.31,29.24,0,20736,-1
2/8/2023 14:46,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-78,11.8,10,70.12,28.75,0,22748,-1
2/8/2023 14:46,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-59,13.5,10,69.33,29.38,0,20737,-1
2/8/2023 14:47,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-56,10.8,10,70.16,27.66,0,8595,-1
2/8/2023 14:47,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-66,13.2,10,69.76,27.07,0,22096,-1
2/8/2023 14:47,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-39,7.8,10,70.2,27.59,0,8596,-1
2/8/2023 14:48,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-60,11.8,10,69.35,29.61,0,20738,-1
2/8/2023 14:49,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-77,7.5,10,70.21,29.05,0,22751,-1
2/8/2023 14:49,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-69,11.2,10,70.07,27.47,0,22613,-1
2/8/2023 14:49,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-56,9.5,10,69.37,29.61,0,20739,-1
2/8/2023 14:49,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-60,9.8,10,69.76,27.21,0,22098,-1
2/8/2023 14:50,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-59,11.2,10,69.37,29.51,0,20740,-1
2/8/2023 14:50,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-59,11.8,10,70.2,27.69,0,8599,-1
2/8/2023 14:50,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-78,11.8,10,70.18,29.05,0,22753,-1
2/8/2023 14:51,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-71,13,10,70.05,27.27,0,22615,-1
2/8/2023 14:52,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-58,12,10,69.39,29.56,0,20742,-1
2/8/2023 14:52,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-78,8.8,10,70.14,29.01,0,22754,-1
2/8/2023 14:52,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-64,12.5,10,69.78,27.14,0,22101,-1
2/8/2023 14:52,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-57,10.8,10,70.2,27.65,0,8601,-1
2/8/2023 14:52,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-75,10.8,10,70.14,28.99,0,22755,-1
2/8/2023 14:52,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-72,13.5,10,70.05,27.21,0,22616,-1
2/8/2023 14:53,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-69,11.8,10,70.09,27.12,0,22617,-1
2/8/2023 14:54,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-61,13.5,10,69.4,29.46,0,20744,-1
2/8/2023 14:54,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-61,10.8,10,70.21,27.59,0,8603,-1
2/8/2023 14:54,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-64,10.5,10,69.78,27.07,0,22103,-1
2/8/2023 14:55,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-77,12.5,10,70.11,28.96,0,22757,-1
2/8/2023 14:55,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-63,12,10,69.78,27.1,0,22104,-1
2/8/2023 14:56,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-60,14,10,69.4,29.49,0,20746,-1
2/8/2023 14:56,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-63,8.5,10,69.78,27.12,0,22105,-1
2/8/2023 14:56,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-83,9.8,10,70.05,29.02,0,22759,-1
2/8/2023 14:57,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-58,8.2,10,70.2,27.59,0,8605,-1
2/8/2023 14:57,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-65,12.5,10,69.78,27.09,0,22106,-1
2/8/2023 14:58,Mote01,qGEKMzVBjAY=,904100000,125,1,4/5,-69,9.2,10,70.03,27.19,0,22622,-1
2/8/2023 14:59,Mote02,qGEKNDExiAs=,904900000,125,5,4/5,-59,14.5,10,69.42,29.3,0,20749,-1
2/8/2023 14:59,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-80,9.5,10,70.03,28.92,0,22761,-1
2/8/2023 14:59,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-69,12,10,70.02,27.21,0,22623,-1
2/8/2023 15:00,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-60,11.5,10,70.25,27.49,0,8608,-1
2/8/2023 15:00,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-60,12.8,10,69.42,29.35,0,20750,-1
2/8/2023 15:00,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-62,9.5,10,69.8,27,0,22109,-1
2/8/2023 15:01,Mote01,qGEKMzVBjAY=,904900000,125,5,4/5,-71,12.5,10,70,27.22,0,22624,-1
2/8/2023 15:01,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-59,10.5,10,70.27,27.49,0,8609,-1
2/8/2023 15:01,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-70,11.8,10,70,27.23,0,22625,-1
2/8/2023 15:02,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-83,9.5,10,70.11,28.91,0,22764,-1
2/8/2023 15:02,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-60,8.5,10,69.42,29.34,0,20752,-1
2/8/2023 15:02,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-70,11.8,10,70,27.23,0,22626,-1
2/8/2023 15:02,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-65,11.2,10,69.8,27,0,22111,-1
2/8/2023 15:03,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-58,10.2,10,70.29,27.46,0,8611,-1
2/8/2023 15:03,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-96,12,10,70.02,27.2,0,22627,-1
2/8/2023 15:03,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-66,13.2,10,69.82,27.06,0,22112,-1
2/8/2023 15:04,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-61,12.5,10,70.3,27.48,0,8612,-1
2/8/2023 15:04,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-79,7.8,10,70.12,28.92,0,22766,-1
2/8/2023 15:04,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-58,12,10,69.42,29.47,0,20754,-1
2/8/2023 15:05,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-60,14.2,10,69.42,29.4,0,20755,-1
2/8/2023 15:06,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-79,9.8,10,70.14,28.89,0,22768,-1
2/8/2023 15:06,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-63,11.8,10,69.84,26.98,0,22115,-1
2/8/2023 15:06,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-71,9.2,10,70.02,27.24,0,22630,-1
2/8/2023 15:07,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-60,10.8,10,70.32,27.48,0,8615,-1
2/8/2023 15:07,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-58,11.5,10,69.46,29.34,0,20757,-1
2/8/2023 15:07,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-69,11.2,10,70.02,27.23,0,22631,-1
2/8/2023 15:07,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-65,12.2,10,69.85,26.98,0,22116,-1
2/8/2023 15:08,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-57,8.5,10,70.32,27.45,0,8616,-1
